date,group,requested_ticker,requested_label,ticker,name,uid,figi,history_id_used,history_id_type,daily_last_price
2020-11-02,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,2737.54
2020-11-03,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,2786.42
2020-11-05,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,2861.39
2020-11-06,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,2895.62
2020-11-09,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,2987.75
2020-11-10,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,2998.61
2020-11-11,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3015.03
2020-11-12,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3025.83
2020-11-13,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3025.22
2020-11-16,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3079.74
2020-11-17,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3052.22
2020-11-18,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3080.68
2020-11-19,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3046.49
2020-11-20,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3051.04
2020-11-23,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3047.06
2020-11-24,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3095.84
2020-11-25,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3134.52
